NOMBRE_MATERIAL,CATEGORIA,SUBCATEGORIA,UNIDAD_MEDIDA,FACTOR_CONV,STOCK_ACTUAL,STOCK_MIN,FECHA_VENC,COSTO_UNIT
TUBO BRACKET METALICO 26,ODONTOLOGIA,BRACKETS,UNIDAD,1,13,10,2036-02-01,3.00
TUBO BRACKET METALICO 36,ODONTOLOGIA,BRACKETS,UNIDAD,1,42,15,2036-02-01,3.00
TUBO BRACKET METALICO 46,ODONTOLOGIA,BRACKETS,UNIDAD,1,30,15,2036-02-01,3.00
TUBO BRACKET METALICO 17,ODONTOLOGIA,BRACKETS,UNIDAD,1,55,20,2036-02-01,3.00
TUBO BRACKET METALICO 27,ODONTOLOGIA,BRACKETS,UNIDAD,1,56,20,2036-02-01,3.00
TUBO BRACKET METALICO 37,ODONTOLOGIA,BRACKETS,UNIDAD,1,37,15,2036-02-01,3.00
TUBO BRACKET METALICO 47,ODONTOLOGIA,BRACKETS,UNIDAD,1,29,15,2036-02-01,3.00
ALCOHOL ANTISEPTICO,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,5,2026-09-10,3.50
ALCOHOL INDUSTRIAL,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,5,2027-01-15,4.00
ALCOHOL EN GEL,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,5,2026-10-05,3.00
ATOMIZADOR,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,4,2,2028-06-20,2.50
BALDE DE TRAPEADOR,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,2,2028-08-01,12.00
BICARBONATO DE SODIO,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,5,2027-03-12,2.00
CEPILLO PARA ESCUPIDERA REDONDO,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,2,2028-04-18,1.50
CEPILLO PARA INSTRUMENTAL,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,2,2028-04-18,2.00
CERA PARA MUEBLES,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,2,2027-11-30,5.00
CLORO GALON,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,3,2026-08-25,3.20
CLORHEXIDINA,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,3,2026-12-10,8.00
CREOLINA GALON,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,2,2027-05-22,6.50
DETERGENTE XLIBRA,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,3,2027-09-01,4.50
DESINFECTANTE GALON,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,3,2026-10-30,5.50
DESOXIDANTE,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,2,2027-06-14,7.00
DESMANCHADOR PARA PLACAS,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,2,2027-07-19,9.00
DESTAPA CAÑERIAS,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,2,2027-02-28,6.00
ESENCIA PARA HUMIFICADOR,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,2,2028-01-10,3.80
ESCOBA,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,1,2028-05-05,4.00
FUNDAS MULTIPRODUCTOS,ODONTOLOGIA,LIMPIEZA,PAQUETE,100,0.98,20,2028-09-01,8.00
FUNDA NEGRA GRA 30X36,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,0.4,10,2028-09-01,1.00
FUNDA NEGRA MED 23X28,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,3.7,15,2028-09-01,0.80
FUNDA NEGRA PEQ 18X20,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,0,15,2028-09-01,0.60
FUNDA NEGRA DE 34*44,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,4.6,20,2028-09-01,1.20
FUNDA ROJA GRA 30X36,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,3.4,15,2028-09-01,1.10
FUNDA ROJA MED 23X28,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,1.2,15,2028-09-01,0.90
FUNDA ROJA PEQ 18X20,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,4,15,2028-09-01,0.70
INCIENSO,ODONTOLOGIA,LIMPIEZA,PAQUETE,10,1.3,5,2028-03-03,1.50
JABON LIQUIDO,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,5,2027-04-25,4.20
LIMPIA VIDRIO WIP WIP,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,3,3,2027-08-18,3.30
LUBRICANTES PARA PIEZA DE MANOS,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,3,2026-11-11,15.00
PAPEL HIGIENICO 200 MTS,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,4,6,2028-06-01,6.00
PAÑO PARA TRAPEAR,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,2,2028-07-07,3.50
PAQUETE DE SERVILLETAS,ODONTOLOGIA,LIMPIEZA,PAQUETE,300,6.6,500,2028-12-01,6
PILAS AA,ODONTOLOGIA,LIMPIEZA,PAQUETE,1,2,6,2029-01-15,0.80
PILAS AAA,ODONTOLOGIA,LIMPIEZA,PAQUETE,1,4,6,2029-01-15,0.75
RECOGEDOR DE BASURA,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,2,2028-05-20,3.00
SILICONA ABRILLANTADORA,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,0,2,2027-10-10,6.80
TOALLAS PARA SECAR INSTRUMENTAL,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,7,5,2028-08-08,2.50
TOALLAS EN Z,ODONTOLOGIA,LIMPIEZA,PAQUETE,1,34,15,2028-11-11,1.20
TOALLA PISO LIMPIEZA,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,2,2028-07-15,4.50
ULTRA SARRO WIP WIP,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,2,3,2027-09-09,5.00
VASOS PLASTICOS 60 OZ,ODONTOLOGIA,LIMPIEZA,PAQUETE,50,2.4,50,2028-10-10,2.00
VINAGRE,ODONTOLOGIA,LIMPIEZA,UNIDAD,1,1,3,2027-02-02,2.20
ADORNO MUELITAS,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,2,2029-01-01,5.00
ALMOADILLA DACTILAR,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,2,2028-06-15,3.50
BORRADOR PARA ACETATOS,ODONTOLOGIA,PAPELERIA,UNIDAD,1,2,2,2028-08-20,1.50
CINTA DE EMBALAJE / CINTA NEGRA,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,5,2028-05-05,2.00
CINTA DOBLE FAST,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,5,2028-05-05,2.50
CINTA DE PAPEL,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,5,2028-05-05,1.80
CUADERNO DE CONTABILIDAD,ODONTOLOGIA,PAPELERIA,UNIDAD,1,3,2,2029-02-10,4.00
ESFEROS,ODONTOLOGIA,PAPELERIA,UNIDAD,1,9,10,2029-03-01,0.50
ESTILETE,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,2,2028-07-07,3.00
HISTORIAS CLINICAS,ODONTOLOGIA,PAPELERIA,UNIDAD,1,411,100,2029-12-31,0.05
FANTOMA,ODONTOLOGIA,PAPELERIA,UNIDAD,1,2,1,2029-06-01,80.00
FICHAS PROTESIS,ODONTOLOGIA,PAPELERIA,UNIDAD,1,31,10,2029-11-11,0.10
RESMAS DE HOJA,ODONTOLOGIA,PAPELERIA,UNIDAD,1,2,5,2028-09-09,6.50
CARPETAS LOMO GRUESO,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,5,2029-04-04,2.20
LAPIZ BICOLOR,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,5,2029-01-15,0.60
PAQUETE VOLANTES,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,10,2028-12-12,0.03
PAQUETE DE SEPARADOR,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,5,2028-10-10,1.50
PENDRIVE,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,2,2030-01-01,12.00
RESALTADOR,ODONTOLOGIA,PAPELERIA,UNIDAD,1,3,5,2029-05-05,1.20
RECETARIO,ODONTOLOGIA,PAPELERIA,PAQUETE,100,1,5,2029-07-07,10.00
SELLO FECHAS,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,1,2029-03-03,6.00
LIQUIPAPER,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,3,2028-08-08,2.00
TALONARIO DOCTORES,ODONTOLOGIA,PAPELERIA,UNIDAD,1,5,3,2029-09-09,1.50
TARJETAS DE PRESENTACION,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,50,2029-12-12,0.05
TINTA PARA IMPRESORA ROJO,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,2,2026-11-11,15.00
TINTA PARA IMPRESORA AMARILLO,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,2,2026-12-01,15.00
TINTA PARA IMPRESORA NEGRO,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,2,2026-12-01,18.00
TINTA PARA IMPRESORA AZUL,ODONTOLOGIA,PAPELERIA,UNIDAD,1,1,2,2026-12-01,15.00
VOLANTES,ODONTOLOGIA,PAPELERIA,UNIDAD,1,0,100,2029-12-12,0.02
RESINA PARA COLOCACION,ODONTOLOGIA,RESINAS,PIEZA,240,0.1,10,2027-03-15,25.00
RESINA A1 PARA RESTAURACION,ODONTOLOGIA,RESINAS,PIEZA,40,0,5,2027-01-10,28.00
RESINA A2 PARA COLOCACION,ODONTOLOGIA,RESINAS,PIEZA,240,0,5,2027-01-10,26.00
RESINAS A2 PARA RESTAURACION,ODONTOLOGIA,RESINAS,PIEZA,40,3.45,30,2026-11-20,28.00
RESINAS A1 PARA RESTAURACION,ODONTOLOGIA,RESINAS,PIEZA,40,0.2,10,2027-02-05,28.00
RESINA EB2,ODONTOLOGIA,RESINAS,PIEZA,40,1.35,15,2026-12-15,27.00
RESINA A3 PARA RESTAURACION,ODONTOLOGIA,RESINAS,PIEZA,40,2.35,20,2026-10-30,28.00
RESINA PARA TOPES,ODONTOLOGIA,RESINAS,PIEZA,40,0.7,10,2027-04-01,24.00
RESINA FLUIDA A1,ODONTOLOGIA,RESINAS,PIEZA,40,0.9,10,2026-09-25,30.00
RESINA FLUIDA A2,ODONTOLOGIA,RESINAS,PIEZA,40,0.35,10,2026-10-10,30.00
RESINA FLUIDA A3,ODONTOLOGIA,RESINAS,PIEZA,40,1.1,15,2026-11-05,30.00
RESINA A3.5 PARA RESTAURACION,ODONTOLOGIA,RESINAS,PIEZA,30,1.3,15,2026-12-01,28.00
RESINA B1 PARA RESTAURACION,ODONTOLOGIA,RESINAS,PIEZA,30,2.3,20,2027-01-20,28.00
RESINA VITRA (COMPOSITA FOTOPOLIMERIZABLE),ODONTOLOGIA,RESINAS,UNIDAD,1,1,3,2027-03-01,35.00
RESINA ORTHOMETRIC,ODONTOLOGIA,RESINAS,UNIDAD,1,0,5,2027-05-05,32.00
VASELINA,ODONTOLOGIA,RESINAS,UNIDAD,1,1,2,2028-06-06,4.00
